,Time,Ax,Ay,Az,Gx,Gy,Gz,Label
295,85968,1.04,-0.1,0.24,-50.06,46.83,-11.34,1.0
296,86078,1.14,-0.04,0.21,14.33,90.3,5.24,1.0
297,86185,0.93,0.03,0.4,-4.88,4.51,17.2,1.0
298,86255,0.91,-0.13,0.22,48.17,-9.33,-121.52,1.0
299,86362,0.76,-0.19,0.3,-206.71,78.6,-14.7,1.0
300,86441,0.93,-0.15,0.26,-2.8,-12.56,-10.67,1.0
301,86548,1.09,-0.08,0.08,-25.18,68.66,7.38,1.0
302,86653,1.01,-0.17,0.35,-46.65,35.43,0.18,1.0
303,86732,0.88,-0.02,0.11,-3.96,-156.04,-4.45,1.0
304,86839,1.27,-0.52,-0.22,77.38,-43.9,68.11,1.0
305,86945,0.93,-0.09,-0.04,22.74,-3.11,28.84,1.0
306,87015,0.97,-0.14,0.03,-4.94,-7.26,28.48,1.0
307,87121,1.04,-0.15,-0.03,11.77,-59.15,1.71,1.0
308,87200,1.02,-0.39,-0.17,5.73,-19.15,2.68,1.0
309,87307,0.96,-0.19,-0.2,-24.09,-5.0,5.37,1.0
310,87401,0.99,-0.17,-0.21,-5.91,-0.55,3.48,1.0
311,87479,0.99,-0.16,-0.18,35.43,-1.95,15.67,1.0
312,87586,0.96,-0.21,-0.15,29.15,-35.37,14.21,1.0
313,87692,1.04,-0.29,0.01,-9.21,65.37,-6.34,1.0
314,87762,0.96,-0.22,-0.19,10.06,19.82,4.7,1.0
315,87868,1.31,1.37,-0.43,21.04,56.89,-5.06,1.0
316,87948,1.09,-0.19,-0.11,12.56,-17.2,-25.18,1.0
317,88058,0.85,-0.13,-0.06,-20.67,-6.77,17.87,1.0
318,88157,0.99,-0.16,0.01,-15.73,33.54,-5.91,1.0
319,88240,1.01,-0.19,-0.07,-43.41,-10.18,14.39,1.0
320,88350,0.94,-0.21,0.0,-43.17,-7.44,-8.23,1.0
321,88461,1.09,-0.17,0.07,21.59,-56.46,-26.77,1.0
322,88534,0.88,-0.19,-0.22,-12.44,21.71,7.5,1.0
323,88646,0.92,-0.29,0.36,1.89,14.63,67.56,1.0
324,88729,1.04,-0.32,-0.08,2.8,-2.62,31.46,1.0
325,88839,1.03,-0.32,0.03,-22.8,-53.54,-19.82,1.0
326,88941,0.95,-0.3,-0.03,-20.79,57.07,-11.34,1.0
327,89024,1.0,-0.33,0.17,-25.3,48.72,-29.63,1.0
328,89134,1.0,-0.26,0.05,-10.18,-35.85,-9.02,1.0
329,89244,0.59,-0.2,-0.69,34.02,-77.2,-6.22,1.0
330,89318,0.98,-0.26,0.0,-0.37,55.61,26.95,1.0
331,89428,0.68,-0.26,-0.05,132.44,-62.87,-66.4,1.0
332,89511,1.05,-0.25,0.14,-11.95,0.24,-9.02,1.0
